"rule_id","assessment_year","financial_year","tax_regime","rule_type","age_category","income_from","income_to","threshold_from","threshold_to","rate_percent","rebate_applicable","rebate_limit","cess_percent","surcharge_rate","surcharge_rate_percent","marginal_relief_applicable","special_income_exclusion","conditions","source_name","source_url","source_date","source_reference"
"RATE-001","2026-27","2025-26","new","slab","all individuals","0","400000","0","400000","0","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-002","2026-27","2025-26","new","slab","all individuals","400001","800000","400001","800000","5","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-003","2026-27","2025-26","new","slab","all individuals","800001","1200000","800001","1200000","10","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-004","2026-27","2025-26","new","slab","all individuals","1200001","1600000","1200001","1600000","15","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-005","2026-27","2025-26","new","slab","all individuals","1600001","2000000","1600001","2000000","20","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-006","2026-27","2025-26","new","slab","all individuals","2000001","2400000","2000001","2400000","25","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-007","2026-27","2025-26","new","slab","all individuals","2400001","NO_UPPER_LIMIT","2400001",,"30","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-008","2026-27","2025-26","old","slab","under 60","0","250000","0","250000","0","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-009","2026-27","2025-26","old","slab","under 60","250001","500000","250001","500000","5","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-010","2026-27","2025-26","old","slab","under 60","500001","1000000","500001","1000000","20","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-011","2026-27","2025-26","old","slab","under 60","1000001","NO_UPPER_LIMIT","1000001",,"30","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
