"field_id","itr_form","assessment_year","feature_area","schema_path","field_name","field_type","required","allowed_values","description","source_name","source_url","source_file","verification_status","source_reference"
"IF-1_202-00016","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo","PersonalInfo","reference","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo"
"IF-1_202-00017","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.AssesseeName","AssesseeName","reference","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.AssesseeName"
"IF-1_202-00018","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.AssesseeName.FirstName","FirstName","","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.AssesseeName.FirstName"
"IF-1_202-00019","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.AssesseeName.MiddleName","MiddleName","","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.AssesseeName.MiddleName"
"IF-1_202-00020","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.AssesseeName.SurNameOrOrgName","SurNameOrOrgName","","YES","","Enter Last or Sur name for Individual name here","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.AssesseeName.SurNameOrOrgName"
"IF-1_202-00021","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.PAN","PAN","","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.PAN"
"IF-1_202-00022","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address","Address","reference","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address"
"IF-1_202-00023","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address.ResidenceNo","ResidenceNo","","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address.ResidenceNo"
"IF-1_202-00024","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address.ResidenceName","ResidenceName","","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address.ResidenceName"
"IF-1_202-00025","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address.RoadOrStreet","RoadOrStreet","","NO","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address.RoadOrStreet"
"IF-1_202-00026","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address.LocalityOrArea","LocalityOrArea","","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address.LocalityOrArea"
"IF-1_202-00027","ITR-1","2026-27","filing_readiness_or_tax_reconciliation","ITR.ITR1.PersonalInfo.Address.CityOrTownOrDistrict","CityOrTownOrDistrict","","YES","","","Income Tax Department JSON Schema","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-06/ITR-1_2026_Main_V1.1.json","ITR-1_2026_Main_V1.1.json","VERIFIED","Official published source record: ITR.ITR1.PersonalInfo.Address.CityOrTownOrDistrict"
