"validation_id","itr_form","assessment_year","validation_code","workflow","field_or_schedule","validation_message","source_name","source_url","source_file","verification_status","source_reference"
"IVAL-ITR1-0001","ITR-1","2026-27","1","filing_readiness","","Linking of Aadhar and PAN is required to avoid consequences of not linking PAN and Aadhar in eligible cases as per Circular 03/2023","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 1"
"IVAL-ITR1-0002","ITR-1","2026-27","2","filing_readiness","","Quoting of Aadhar in ITR is required as per section 139(AA)in applicable cases and also linking of Aadhar and PAN is required to avoid consequences of not linking PAN and Aadhar in eligible cases as per Circular 03/2023","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 2"
"IVAL-ITR1-0003","ITR-1","2026-27","3","filing_readiness","","TDS section code such 194B, 194BB, 194BA,194IA,194IC,194LA or 194S as is selected under Schedule ""TDS2 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted"" or Assessee having income under special rate is not eligible to file ITR-1","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 3"
"IVAL-ITR1-0004","ITR-1","2026-27","4","filing_readiness","","TDS section code such 194B, 194BB, 194BA, 194IA,194IC,194LA, or 194S as is selected under Schedule ""TDS3 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted"" or Assessee having income under special rate is not eligible to file ITR-1.","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 4"
"IVAL-ITR1-0005","ITR-1","2026-27","5","filing_readiness","","TDS section code such as 194E,194LB,194LC,194LBA(a),194LBA(b),194LBA©,195,196A,196B,196C,196D or 196D(1A) is selected under Schedule ""TDS2 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted""","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 5"
"IVAL-ITR1-0006","ITR-1","2026-27","6","filing_readiness","","TDS section code such as 194E,194LB,194LC,194LBA(a),194LBA(b),194LBA©,195,196A,196B,196C,196D or 196D(1A) is selected under Schedule ""TDS3 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted""","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 6"
"IVAL-ITR1-0007","ITR-1","2026-27","7","filing_readiness","","TDS section code such as 194Q, 194C or 194R is selected under Schedule ""TDS2 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted"" for which ITR 1 is not applicable","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 7"
"IVAL-ITR1-0008","ITR-1","2026-27","8","filing_readiness","","TDS section code such as 194Q,194C or 194R is selected under Schedule ""TDS3 Details of Tax Deducted at Source on Income Other than Salary"" at field 2a ""Section under which TDS deducted"" for which ITR 1 is not applicable","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 8"
"IVAL-ITR1-0009","ITR-1","2026-27","9","filing_readiness","","TDS deducted value in schedule TDS 1 CANNOT BE MORE THAN value in schedule Salary ""Total Gross salary""","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%201_Validation%20Rules_AY%202026-27.pdf","ITR-1-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 9"
"IVAL-ITR2-0002","ITR-2","2026-27","26","filing_readiness","","Current year losses (STCL & LTCL) should not be more than ZERO if return is filed under 139(4)","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT__e-Filing_ITR%202_Validation%20Rules_AY%202026-27_V1.0.pdf","ITR-2-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 26"
"IVAL-ITR4-0002","ITR-4","2026-27","1","filing_readiness","","Income u/s 44AD, 44ADA, 44AE is disclosed in the Part B- Gross Total Income but","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 1"
"IVAL-ITR4-0003","ITR-4","2026-27","2","filing_readiness","","Business Income mentioned in Part B- Gross Total Income is not consistent with the","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 2"
"IVAL-ITR4-0004","ITR-4","2026-27","3","filing_readiness","In ""Schedule BP"" in E17 of Total capital and liabilities should be equal to the value entered in (Partners/ members own capital+Secured loans+Unsecured loans+Advances+Sundry creditors+Other liabilities)","In ""Schedule BP"" in E17 of Total capital and liabilities should be equal to the value","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 3"
"IVAL-ITR4-0005","ITR-4","2026-27","4","filing_readiness","","In ""Schedule BP"" in E25 of Total assets should be equal to the value entered in (Fixed assets+Investments+Inventories +Sundry debtors+Balance with banks+Cash-in- hand+Loans and advances+Other Assets)","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 4"
"IVAL-ITR4-0006","ITR-4","2026-27","5","filing_readiness","","Presumptive income u/s 44AD should be more than or equal to 6% of Gross Turnover or Gross Receipts received a/c payee cheque or a/c payee bank draft or bank electronic clearing system or prescribed electronic modes received before specified date","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 5"
"IVAL-ITR4-0007","ITR-4","2026-27","6","filing_readiness","","Presumptive income u/s 44AD should be more than or equal to 8% of Gross Turnover or Gross Receipts received in any other mode other than through a/c payee cheque or a/c payee bank draft or bank electronic clearing system or prescribed electronic modes received before specified date","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 6"
"IVAL-ITR4-0008","ITR-4","2026-27","7","filing_readiness","","Total; Presumptive income u/s 44AD should be the sum of 6% of Gross Turnover","Income Tax Department validation rules","https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf","ITR-4-validation-rules-AY-2026-27.pdf","VERIFIED","Official published source record: 7"
