"field_id","information_category","field_name","purpose","description","assessment_year","financial_year","record_level_field","matching_key_role","source_name","source_url","source_reference","verification_status"
"AIS-001","PART A general information","PAN","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","taxpayer_identity","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-002","PART A general information","Masked Aadhaar Number","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-003","PART A general information","Name of Taxpayer","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","taxpayer_identity","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-004","PART A general information","Date of Birth / Incorporation / Formation","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-005","PART A general information","Mobile Number","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-006","PART A general information","E-mail Address","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-007","PART A general information","Address of Taxpayer","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-008","PART B TDS/TCS information","Information Code","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","classification","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-009","PART B TDS/TCS information","Information Description","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","classification","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-010","PART B TDS/TCS information","Information Value","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","YES","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-011","PART B SFT information","SFT Code","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-012","PART B SFT information","Information Description","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","classification","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-013","PART B SFT information","Information Value","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","YES","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-014","PART B payment of taxes","Payment of Taxes","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-015","PART B demand and refund","Assessment Year","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-016","PART B demand and refund","Amount","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","YES","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
"AIS-017","PART B other information","Other Information","income_or_tax_credit_reconciliation","Official AIS FAQ field/component concept; structure/reference only, never taxpayer data.","2026-27","2025-26","NO","supporting","AIS FAQ","https://www.incometax.gov.in/iec/foportal/ais-faq","Q-2 Components of Annual Information Statement","VERIFIED"
