"document_type_id","document_type","used_for","data_classification","source_name","source_url","source_reference","verification_status"
"DOC-T-001","Form 16","salary","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Form 16","VERIFIED"
"DOC-T-002","Form 16A","tds_income","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Form 16A","VERIFIED"
"DOC-T-003","Form 26AS","tax_reconciliation","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Form 26AS","VERIFIED"
"DOC-T-004","AIS","tax_reconciliation","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: AIS","VERIFIED"
"DOC-T-005","Pay Slip","salary","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Pay Slip","VERIFIED"
"DOC-T-006","Bank Statement","bank_interest","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Bank Statement","VERIFIED"
"DOC-T-007","Housing Loan Interest Certificate","home_loan_interest","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Housing Loan Interest Certificate","VERIFIED"
"DOC-T-008","House Rent Receipt","rental_income","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: House Rent Receipt","VERIFIED"
"DOC-T-009","Rental Agreement","rental_income","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Rental Agreement","VERIFIED"
"DOC-T-010","Donation Receipt","donation","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Donation Receipt","VERIFIED"
"DOC-T-011","Investment or premium payment receipt","investment_deduction","project_document_type_grounded_in_official_guidance","File ITR-4 (Sugam) Online FAQs","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs","Official published source record: Investment or premium payment receipt","VERIFIED"
"DOC-T-012","Form 16C","rent_tds_194IB","project_document_type_grounded_in_official_guidance","Income Tax Department - Section 194IB","https://www.incometaxindia.gov.in/hi/w/section-194ib-6","TDS certificate workflow","VERIFIED"
"DOC-T-013","Invoice or Professional Contract","freelance_or_business_income","project_document_type_grounded_in_official_guidance","Income Tax Department - File ITR-2 Online","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/file-itr-2-online","Documents to keep ready for return preparation","VERIFIED"
"DOC-T-014","Contract Note or Broker Statement","capital_gain","project_document_type_grounded_in_official_guidance","Income Tax Department - File ITR-2 Online","https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/file-itr-2-online","Capital-gain transaction support document workflow","VERIFIED"
"DOC-T-015","Tax Payment Challan","tax_payment","project_document_type_grounded_in_official_guidance","Income Tax Department - Section 140A","https://www.incometaxindia.gov.in/w/section-140a-4","Proof of self-assessment payment","VERIFIED"
