"data_type","synthetic_source","action_id","user_id","risk_id","user_risk_id","action_type","target_record_type","target_record_id","status"
"synthetic","generated_for_testing","ACT0001","USR0001","RISK-001","URISK0001","upload_document","transaction","TXN00001","open"
"synthetic","generated_for_testing","ACT0002","USR0002","RISK-002","URISK0002","reconcile_transaction","income_record","INC000201","open"
"synthetic","generated_for_testing","ACT0003","USR0003","RISK-003","URISK0003","upload_document","transaction","TXN00003","open"
"synthetic","generated_for_testing","ACT0004","USR0004","RISK-004","URISK0004","reconcile_transaction","obligation","OBLITR0004","completed"
"synthetic","generated_for_testing","ACT0005","USR0005","RISK-005","URISK0005","upload_document","transaction","TXN00005","open"
"synthetic","generated_for_testing","ACT0006","USR0006","RISK-006","URISK0006","reconcile_transaction","deduction","DED0006","open"
"synthetic","generated_for_testing","ACT0007","USR0007","RISK-007","URISK0007","upload_document","obligation","OBLPAY0007","open"
"synthetic","generated_for_testing","ACT0008","USR0008","RISK-001","URISK0008","reconcile_transaction","document","DOC00008","completed"
"synthetic","generated_for_testing","ACT0009","USR0009","RISK-002","URISK0009","upload_document","income_record","INC000901","open"
"synthetic","generated_for_testing","ACT0010","USR0010","RISK-003","URISK0010","reconcile_transaction","obligation","OBLITR0010","open"
"synthetic","generated_for_testing","ACT0011","USR0011","RISK-004","URISK0011","upload_document","obligation","OBLITR0011","open"
"synthetic","generated_for_testing","ACT0012","USR0012","RISK-005","URISK0012","reconcile_transaction","reconciliation","REC0012","completed"
"synthetic","generated_for_testing","ACT0013","USR0013","RISK-006","URISK0013","upload_document","transaction","TXN00013","open"
"synthetic","generated_for_testing","ACT0014","USR0014","RISK-007","URISK0014","reconcile_transaction","transaction","TXN00014","open"
"synthetic","generated_for_testing","ACT0015","USR0015","RISK-001","URISK0015","upload_document","transaction","TXN00015","open"
"synthetic","generated_for_testing","ACT0016","USR0016","RISK-002","URISK0016","reconcile_transaction","income_record","INC001601","completed"
"synthetic","generated_for_testing","ACT0017","USR0017","RISK-003","URISK0017","upload_document","obligation","OBLITR0017","open"
