"data_type","synthetic_source","deduction_record_id","user_id","deduction_type","section","claimed_amount","evidence_status","deduction_rule_id","evidence_id","linked_entity_type","linked_entity_id"
"synthetic","generated_for_testing","DED0003","USR0003","investment_deduction","80C","51500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0006","USR0006","investment_deduction","80C","53000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0009","USR0009","investment_deduction","80C","54500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0012","USR0012","investment_deduction","80C","56000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0015","USR0015","investment_deduction","80C","57500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0018","USR0018","investment_deduction","80C","59000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0021","USR0021","investment_deduction","80C","60500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0024","USR0024","investment_deduction","80C","62000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0027","USR0027","investment_deduction","80C","63500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0030","USR0030","investment_deduction","80C","65000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0033","USR0033","investment_deduction","80C","66500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0036","USR0036","investment_deduction","80C","68000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0039","USR0039","investment_deduction","80C","69500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0042","USR0042","investment_deduction","80C","71000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0045","USR0045","investment_deduction","80C","72500","linked","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DED0048","USR0048","investment_deduction","80C","74000","missing","DED-001","EV-011","income_record",
"synthetic","generated_for_testing","DEDREC0017","USR0005","health_insurance","80D","18500","linked","DED-002","EV-017","insurance","INS0005"
"synthetic","generated_for_testing","DEDREC0018","USR0010","health_insurance","80D","19000","linked","DED-002","EV-017","insurance","INS0010"
"synthetic","generated_for_testing","DEDREC0019","USR0015","health_insurance","80D","19500","linked","DED-002","EV-017","insurance","INS0015"
"synthetic","generated_for_testing","DEDREC0020","USR0020","health_insurance","80D","20000","linked","DED-002","EV-017","insurance","INS0020"
"synthetic","generated_for_testing","DEDREC0021","USR0025","health_insurance","80D","20500","linked","DED-002","EV-017","insurance","INS0025"
"synthetic","generated_for_testing","DEDREC0022","USR0030","health_insurance","80D","21000","linked","DED-002","EV-017","insurance","INS0030"
"synthetic","generated_for_testing","DEDREC0023","USR0035","health_insurance","80D","21500","linked","DED-002","EV-017","insurance","INS0035"
"synthetic","generated_for_testing","DEDREC0024","USR0040","health_insurance","80D","22000","linked","DED-002","EV-017","insurance","INS0040"
"synthetic","generated_for_testing","DEDREC0025","USR0045","health_insurance","80D","22500","linked","DED-002","EV-017","insurance","INS0045"
"synthetic","generated_for_testing","DEDREC0026","USR0050","health_insurance","80D","23000","linked","DED-002","EV-017","insurance","INS0050"
"synthetic","generated_for_testing","DEDREC0027","USR0007","home_loan_interest","24(b)","102000","linked","DED-008","EV-007","loan","LOAN0007"
"synthetic","generated_for_testing","DEDREC0028","USR0014","home_loan_interest","24(b)","109000","linked","DED-008","EV-007","loan","LOAN0014"
"synthetic","generated_for_testing","DEDREC0029","USR0021","home_loan_interest","24(b)","116000","linked","DED-008","EV-007","loan","LOAN0021"
"synthetic","generated_for_testing","DEDREC0030","USR0028","home_loan_interest","24(b)","123000","linked","DED-008","EV-007","loan","LOAN0028"
"synthetic","generated_for_testing","DEDREC0031","USR0035","home_loan_interest","24(b)","130000","linked","DED-008","EV-007","loan","LOAN0035"
"synthetic","generated_for_testing","DEDREC0032","USR0042","home_loan_interest","24(b)","137000","linked","DED-008","EV-007","loan","LOAN0042"
"synthetic","generated_for_testing","DEDREC0033","USR0049","home_loan_interest","24(b)","144000","linked","DED-008","EV-007","loan","LOAN0049"
