"data_type","synthetic_source","document_id","user_id","document_type","document_type_id","status","linked_event_type","linked_event_id","evidence_id"
"synthetic","generated_for_testing","DOC00001","USR0001","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0051","EV-016"
"synthetic","generated_for_testing","DOC00002","USR0002","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0052","EV-016"
"synthetic","generated_for_testing","DOC00003","USR0003","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0053","EV-016"
"synthetic","generated_for_testing","DOC00004","USR0004","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0004","EV-015"
"synthetic","generated_for_testing","DOC00005","USR0005","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0055","EV-016"
"synthetic","generated_for_testing","DOC00006","USR0006","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0056","EV-016"
"synthetic","generated_for_testing","DOC00007","USR0007","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0057","EV-016"
"synthetic","generated_for_testing","DOC00008","USR0008","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0008","EV-015"
"synthetic","generated_for_testing","DOC00009","USR0009","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0059","EV-016"
"synthetic","generated_for_testing","DOC00010","USR0010","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0060","EV-016"
"synthetic","generated_for_testing","DOC00011","USR0011","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0061","EV-016"
"synthetic","generated_for_testing","DOC00012","USR0012","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0012","EV-015"
"synthetic","generated_for_testing","DOC00013","USR0013","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0063","EV-016"
"synthetic","generated_for_testing","DOC00014","USR0014","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0064","EV-016"
"synthetic","generated_for_testing","DOC00015","USR0015","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0065","EV-016"
"synthetic","generated_for_testing","DOC00016","USR0016","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0016","EV-015"
"synthetic","generated_for_testing","DOC00017","USR0017","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0067","EV-016"
"synthetic","generated_for_testing","DOC00018","USR0018","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0068","EV-016"
"synthetic","generated_for_testing","DOC00019","USR0019","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0069","EV-016"
"synthetic","generated_for_testing","DOC00020","USR0020","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0020","EV-015"
"synthetic","generated_for_testing","DOC00021","USR0021","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0071","EV-016"
"synthetic","generated_for_testing","DOC00022","USR0022","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0072","EV-016"
"synthetic","generated_for_testing","DOC00023","USR0023","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0073","EV-016"
"synthetic","generated_for_testing","DOC00024","USR0024","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0024","EV-015"
"synthetic","generated_for_testing","DOC00025","USR0025","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0075","EV-016"
"synthetic","generated_for_testing","DOC00026","USR0026","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0076","EV-016"
"synthetic","generated_for_testing","DOC00027","USR0027","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0077","EV-016"
"synthetic","generated_for_testing","DOC00028","USR0028","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0028","EV-015"
"synthetic","generated_for_testing","DOC00029","USR0029","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0079","EV-016"
"synthetic","generated_for_testing","DOC00030","USR0030","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0080","EV-016"
"synthetic","generated_for_testing","DOC00031","USR0031","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0081","EV-016"
"synthetic","generated_for_testing","DOC00032","USR0032","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0032","EV-015"
"synthetic","generated_for_testing","DOC00033","USR0033","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0083","EV-016"
"synthetic","generated_for_testing","DOC00034","USR0034","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0084","EV-016"
"synthetic","generated_for_testing","DOC00035","USR0035","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0085","EV-016"
"synthetic","generated_for_testing","DOC00036","USR0036","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0036","EV-015"
"synthetic","generated_for_testing","DOC00037","USR0037","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0087","EV-016"
"synthetic","generated_for_testing","DOC00038","USR0038","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0088","EV-016"
"synthetic","generated_for_testing","DOC00039","USR0039","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0089","EV-016"
"synthetic","generated_for_testing","DOC00040","USR0040","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0040","EV-015"
"synthetic","generated_for_testing","DOC00041","USR0041","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0091","EV-016"
"synthetic","generated_for_testing","DOC00042","USR0042","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0092","EV-016"
"synthetic","generated_for_testing","DOC00043","USR0043","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0093","EV-016"
"synthetic","generated_for_testing","DOC00044","USR0044","Contract Note or Broker Statement","DOC-T-014","uploaded","capital_gain","CG0044","EV-015"
"synthetic","generated_for_testing","DOC00045","USR0045","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0095","EV-016"
"synthetic","generated_for_testing","DOC00046","USR0046","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0096","EV-016"
"synthetic","generated_for_testing","DOC00047","USR0047","Tax Payment Challan","DOC-T-015","uploaded","tax_payment","PAY0097","EV-016"
