"data_type","synthetic_source","income_id","user_id","income_type","financial_year","gross_amount","tds_amount","evidence_status","record_origin","tax_regime","salary_deduction_rule_id","interest_deduction_rule_id","business_rule_id","gross_rent","municipal_taxes_paid","annual_value","property_use","housing_loan_interest"
"synthetic","generated_for_testing","INC000101","USR0001","salary","2025-26","618000","18540","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000102","USR0001","bank_interest","2025-26","12600","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000103","USR0001","dividend","2025-26","12600","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000201","USR0002","salary","2025-26","636000","19080","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000202","USR0002","bank_interest","2025-26","13200","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000203","USR0002","dividend","2025-26","13200","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000301","USR0003","salary","2025-26","654000","19620","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000302","USR0003","bank_interest","2025-26","13800","0","missing","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000303","USR0003","freelance","2025-26","13800","414","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC000401","USR0004","salary","2025-26","672000","20160","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000402","USR0004","bank_interest","2025-26","14400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000403","USR0004","dividend","2025-26","14400","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000501","USR0005","salary","2025-26","690000","20700","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000502","USR0005","bank_interest","2025-26","15000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000503","USR0005","rental_income","2025-26","15000","0","linked","seed_income_record","old",,,,"15000","750.00","14250.00","let_out","0"
"synthetic","generated_for_testing","INC000601","USR0006","salary","2025-26","708000","21240","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000602","USR0006","bank_interest","2025-26","15600","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000603","USR0006","freelance","2025-26","15600","468","missing","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC000701","USR0007","salary","2025-26","726000","21780","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000702","USR0007","bank_interest","2025-26","16200","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000703","USR0007","dividend","2025-26","16200","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000801","USR0008","salary","2025-26","744000","22320","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000802","USR0008","bank_interest","2025-26","16800","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000803","USR0008","dividend","2025-26","16800","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000901","USR0009","salary","2025-26","762000","22860","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000902","USR0009","bank_interest","2025-26","17400","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC000903","USR0009","freelance","2025-26","17400","522","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC001001","USR0010","salary","2025-26","780000","23400","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001002","USR0010","bank_interest","2025-26","18000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001003","USR0010","rental_income","2025-26","18000","0","missing","seed_income_record","old",,,,"18000","900.00","17100.00","let_out","0"
"synthetic","generated_for_testing","INC001101","USR0011","salary","2025-26","798000","23940","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001102","USR0011","bank_interest","2025-26","18600","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001103","USR0011","dividend","2025-26","18600","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001201","USR0012","salary","2025-26","816000","24480","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001202","USR0012","bank_interest","2025-26","19200","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001203","USR0012","freelance","2025-26","19200","576","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC001301","USR0013","salary","2025-26","834000","25020","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001302","USR0013","bank_interest","2025-26","19800","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001303","USR0013","dividend","2025-26","19800","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001401","USR0014","salary","2025-26","852000","25560","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001402","USR0014","bank_interest","2025-26","20400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001403","USR0014","dividend","2025-26","20400","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001501","USR0015","salary","2025-26","870000","26100","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001502","USR0015","bank_interest","2025-26","21000","0","missing","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001503","USR0015","freelance","2025-26","21000","630","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC001601","USR0016","salary","2025-26","888000","26640","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001602","USR0016","bank_interest","2025-26","21600","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001603","USR0016","dividend","2025-26","21600","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001701","USR0017","salary","2025-26","906000","27180","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001702","USR0017","bank_interest","2025-26","22200","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001703","USR0017","dividend","2025-26","22200","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001801","USR0018","salary","2025-26","924000","27720","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001802","USR0018","bank_interest","2025-26","22800","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001803","USR0018","freelance","2025-26","22800","684","missing","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC001901","USR0019","salary","2025-26","942000","28260","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001902","USR0019","bank_interest","2025-26","23400","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC001903","USR0019","dividend","2025-26","23400","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002001","USR0020","salary","2025-26","960000","28800","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002002","USR0020","bank_interest","2025-26","24000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002003","USR0020","rental_income","2025-26","24000","0","linked","seed_income_record","old",,,,"24000","1200.00","22800.00","let_out","0"
"synthetic","generated_for_testing","INC002101","USR0021","salary","2025-26","978000","29340","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002102","USR0021","bank_interest","2025-26","24600","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002103","USR0021","freelance","2025-26","24600","738","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC002201","USR0022","salary","2025-26","996000","29880","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002202","USR0022","bank_interest","2025-26","25200","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002203","USR0022","dividend","2025-26","25200","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002301","USR0023","salary","2025-26","1014000","30420","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002302","USR0023","bank_interest","2025-26","25800","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002303","USR0023","dividend","2025-26","25800","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002401","USR0024","salary","2025-26","1032000","30960","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002402","USR0024","bank_interest","2025-26","26400","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
