"data_type","synthetic_source","insurance_id","user_id","policy_type","premium_amount","evidence_status","deduction_rule_id","evidence_id"
"synthetic","generated_for_testing","INS0005","USR0005","health_insurance","18500","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0010","USR0010","health_insurance","19000","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0015","USR0015","health_insurance","19500","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0020","USR0020","health_insurance","20000","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0025","USR0025","health_insurance","20500","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0030","USR0030","health_insurance","21000","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0035","USR0035","health_insurance","21500","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0040","USR0040","health_insurance","22000","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0045","USR0045","health_insurance","22500","linked","DED-002","EV-017"
"synthetic","generated_for_testing","INS0050","USR0050","health_insurance","23000","linked","DED-002","EV-017"
