"data_type","synthetic_source","snapshot_id","user_id","snapshot_date","documentation_score","compliance_score","reconciliation_score","tax_accuracy_score","actionability_score","readiness_score","calculation_version"
"synthetic","generated_for_testing","RS0001","USR0001","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0002","USR0002","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0003","USR0003","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0004","USR0004","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0005","USR0005","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0006","USR0006","2026-08-31","50","100","50","100","50","70.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0007","USR0007","2026-08-31","100","0","100","100","0","65.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0008","USR0008","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0009","USR0009","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0010","USR0010","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0011","USR0011","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0012","USR0012","2026-08-31","62.5","100","50","100","50","73.75","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0013","USR0013","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0014","USR0014","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0015","USR0015","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0016","USR0016","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0017","USR0017","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0018","USR0018","2026-08-31","50","100","50","100","50","70.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0019","USR0019","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0020","USR0020","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0021","USR0021","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0022","USR0022","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0023","USR0023","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0024","USR0024","2026-08-31","62.5","100","50","100","50","73.75","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0025","USR0025","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0026","USR0026","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0027","USR0027","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0028","USR0028","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0029","USR0029","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0030","USR0030","2026-08-31","50","100","50","100","50","70.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0031","USR0031","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0032","USR0032","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0033","USR0033","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0034","USR0034","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
