"data_type","synthetic_source","reconciliation_id","user_id","source_type","transaction_id","tax_information_record_id","matching_key","user_record_amount","source_reported_amount","user_tds_amount","source_tds_amount","difference_amount","status","comparison_date"
"synthetic","generated_for_testing","REC0001","USR0001","AIS","TXN00001","TIR0001","TXN00001","3137","3137","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0002","USR0002","Form_26AS","TXN00002","TIR0002","TXN00002","3274","3274","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0003","USR0003","AIS","TXN00003","TIR0003","TXN00003","3411","3411","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0004","USR0004","Form_26AS","TXN00004","TIR0004","TXN00004","3548","3548","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0005","USR0005","AIS","TXN00005","TIR0005","TXN00005","3685","3685","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0006","USR0006","Form_26AS","TXN00006","TIR0006","TXN00006","3822","4072","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0007","USR0007","AIS","TXN00007","TIR0007","TXN00007","3959","3959","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0008","USR0008","Form_26AS","TXN00008","TIR0008","TXN00008","4096","4096","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0009","USR0009","AIS","TXN00009","TIR0009","TXN00009","4233","4233","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0010","USR0010","Form_26AS","TXN00010","TIR0010","TXN00010","4370","4370","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0011","USR0011","AIS","TXN00011","TIR0011","TXN00011","4507","4507","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0012","USR0012","Form_26AS","TXN00012","TIR0012","TXN00012","4644","4894","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0013","USR0013","AIS","TXN00013","TIR0013","TXN00013","4781","4781","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0014","USR0014","Form_26AS","TXN00014","TIR0014","TXN00014","4918","4918","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0015","USR0015","AIS","TXN00015","TIR0015","TXN00015","5055","5055","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0016","USR0016","Form_26AS","TXN00016","TIR0016","TXN00016","5192","5192","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0017","USR0017","AIS","TXN00017","TIR0017","TXN00017","5329","5329","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0018","USR0018","Form_26AS","TXN00018","TIR0018","TXN00018","5466","5716","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0019","USR0019","AIS","TXN00019","TIR0019","TXN00019","5603","5603","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0020","USR0020","Form_26AS","TXN00020","TIR0020","TXN00020","5740","5740","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0021","USR0021","AIS","TXN00021","TIR0021","TXN00021","5877","5877","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0022","USR0022","Form_26AS","TXN00022","TIR0022","TXN00022","6014","6014","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0023","USR0023","AIS","TXN00023","TIR0023","TXN00023","6151","6151","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0024","USR0024","Form_26AS","TXN00024","TIR0024","TXN00024","6288","6538","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0025","USR0025","AIS","TXN00025","TIR0025","TXN00025","6425","6425","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0026","USR0026","Form_26AS","TXN00026","TIR0026","TXN00026","6562","6562","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0027","USR0027","AIS","TXN00027","TIR0027","TXN00027","6699","6699","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0028","USR0028","Form_26AS","TXN00028","TIR0028","TXN00028","6836","6836","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0029","USR0029","AIS","TXN00029","TIR0029","TXN00029","6973","6973","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0030","USR0030","Form_26AS","TXN00030","TIR0030","TXN00030","7110","7360","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0031","USR0031","AIS","TXN00031","TIR0031","TXN00031","7247","7247","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0032","USR0032","Form_26AS","TXN00032","TIR0032","TXN00032","7384","7384","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0033","USR0033","AIS","TXN00033","TIR0033","TXN00033","7521","7521","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0034","USR0034","Form_26AS","TXN00034","TIR0034","TXN00034","7658","7658","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0035","USR0035","AIS","TXN00035","TIR0035","TXN00035","7795","7795","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0036","USR0036","Form_26AS","TXN00036","TIR0036","TXN00036","7932","8182","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0037","USR0037","AIS","TXN00037","TIR0037","TXN00037","8069","8069","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0038","USR0038","Form_26AS","TXN00038","TIR0038","TXN00038","8206","8206","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0039","USR0039","AIS","TXN00039","TIR0039","TXN00039","8343","8343","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0040","USR0040","Form_26AS","TXN00040","TIR0040","TXN00040","8480","8480","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0041","USR0041","AIS","TXN00041","TIR0041","TXN00041","8617","8617","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0042","USR0042","Form_26AS","TXN00042","TIR0042","TXN00042","8754","9004","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0043","USR0043","AIS","TXN00043","TIR0043","TXN00043","8891","8891","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0044","USR0044","Form_26AS","TXN00044","TIR0044","TXN00044","9028","9028","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0045","USR0045","AIS","TXN00045","TIR0045","TXN00045","9165","9165","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0046","USR0046","Form_26AS","TXN00046","TIR0046","TXN00046","9302","9302","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0047","USR0047","AIS","TXN00047","TIR0047","TXN00047","9439","9439","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0048","USR0048","Form_26AS","TXN00048","TIR0048","TXN00048","9576","9826","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0049","USR0049","AIS","TXN00049","TIR0049","TXN00049","9713","9713","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0050","USR0050","Form_26AS","TXN00050","TIR0050","TXN00050","9850","9850","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0051","USR0001","AIS","TXN00051","TIR0051","TXN00051","9987","9987","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0052","USR0002","Form_26AS","TXN00052","TIR0052","TXN00052","10124","10124","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0053","USR0003","AIS","TXN00053","TIR0053","TXN00053","10261","10261","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0054","USR0004","Form_26AS","TXN00054","TIR0054","TXN00054","10398","10648","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0055","USR0005","AIS","TXN00055","TIR0055","TXN00055","10535","10535","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0056","USR0006","Form_26AS","TXN00056","TIR0056","TXN00056","10672","10672","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0057","USR0007","AIS","TXN00057","TIR0057","TXN00057","10809","10809","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0058","USR0008","Form_26AS","TXN00058","TIR0058","TXN00058","10946","10946","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0059","USR0009","AIS","TXN00059","TIR0059","TXN00059","11083","11083","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0060","USR0010","Form_26AS","TXN00060","TIR0060","TXN00060","11220","11470","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0061","USR0011","AIS","TXN00061","TIR0061","TXN00061","11357","11357","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0062","USR0012","Form_26AS","TXN00062","TIR0062","TXN00062","11494","11494","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0063","USR0013","AIS","TXN00063","TIR0063","TXN00063","11631","11631","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0064","USR0014","Form_26AS","TXN00064","TIR0064","TXN00064","11768","11768","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0065","USR0015","AIS","TXN00065","TIR0065","TXN00065","11905","11905","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0066","USR0016","Form_26AS","TXN00066","TIR0066","TXN00066","12042","12292","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0067","USR0017","AIS","TXN00067","TIR0067","TXN00067","12179","12179","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0068","USR0018","Form_26AS","TXN00068","TIR0068","TXN00068","12316","12316","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0069","USR0019","AIS","TXN00069","TIR0069","TXN00069","12453","12453","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0070","USR0020","Form_26AS","TXN00070","TIR0070","TXN00070","12590","12590","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0071","USR0021","AIS","TXN00071","TIR0071","TXN00071","12727","12727","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0072","USR0022","Form_26AS","TXN00072","TIR0072","TXN00072","12864","13114","0","0","-250","mismatch","2026-06-30"
"synthetic","generated_for_testing","REC0073","USR0023","AIS","TXN00073","TIR0073","TXN00073","13001","13001","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0074","USR0024","Form_26AS","TXN00074","TIR0074","TXN00074","13138","13138","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0075","USR0025","AIS","TXN00075","TIR0075","TXN00075","13275","13275","0","0","0","matched","2026-06-30"
"synthetic","generated_for_testing","REC0076","USR0026","Form_26AS","TXN00076","TIR0076","TXN00076","13412","13412","0","0","0","matched","2026-06-30"
