"data_type","synthetic_source","user_risk_id","user_id","risk_id","trigger_record_type","trigger_record_id","evaluated_on","status","severity"
"synthetic","generated_for_testing","URISK0001","USR0001","RISK-001","transaction","TXN00001","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0002","USR0002","RISK-002","income_record","INC000201","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0003","USR0003","RISK-003","transaction","TXN00003","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0004","USR0004","RISK-004","obligation","OBLITR0004","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0005","USR0005","RISK-005","transaction","TXN00005","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0006","USR0006","RISK-006","deduction","DED0006","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0007","USR0007","RISK-007","obligation","OBLPAY0007","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0008","USR0008","RISK-001","document","DOC00008","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0009","USR0009","RISK-002","income_record","INC000901","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0010","USR0010","RISK-003","obligation","OBLITR0010","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0011","USR0011","RISK-004","obligation","OBLITR0011","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0012","USR0012","RISK-005","reconciliation","REC0012","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0013","USR0013","RISK-006","transaction","TXN00013","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0014","USR0014","RISK-007","transaction","TXN00014","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0015","USR0015","RISK-001","transaction","TXN00015","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0016","USR0016","RISK-002","income_record","INC001601","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0017","USR0017","RISK-003","obligation","OBLITR0017","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0018","USR0018","RISK-004","transaction","TXN00018","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0019","USR0019","RISK-005","transaction","TXN00019","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0020","USR0020","RISK-006","transaction","TXN00020","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0021","USR0021","RISK-007","transaction","TXN00021","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0022","USR0022","RISK-001","document","DOC00072","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0023","USR0023","RISK-002","income_record","INC002301","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0024","USR0024","RISK-003","transaction","TXN00024","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0025","USR0025","RISK-004","obligation","OBLITR0025","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0026","USR0026","RISK-005","reconciliation","REC0126","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0027","USR0027","RISK-006","transaction","TXN00027","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0028","USR0028","RISK-007","transaction","TXN00028","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0029","USR0029","RISK-001","transaction","TXN00029","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0030","USR0030","RISK-002","income_record","INC003001","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0031","USR0031","RISK-003","obligation","OBLITR0031","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0032","USR0032","RISK-004","obligation","OBLITR0032","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0033","USR0033","RISK-005","transaction","TXN00033","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0034","USR0034","RISK-006","transaction","TXN00034","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0035","USR0035","RISK-007","transaction","TXN00035","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0036","USR0036","RISK-001","document","DOC00036","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0037","USR0037","RISK-002","income_record","INC003701","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0038","USR0038","RISK-003","obligation","OBLITR0038","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0039","USR0039","RISK-004","transaction","TXN00039","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0040","USR0040","RISK-005","reconciliation","REC0090","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0041","USR0041","RISK-006","transaction","TXN00041","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0042","USR0042","RISK-007","transaction","TXN00042","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0043","USR0043","RISK-001","transaction","TXN00043","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0044","USR0044","RISK-002","income_record","INC004401","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0045","USR0045","RISK-003","transaction","TXN00045","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0046","USR0046","RISK-004","obligation","OBLITR0046","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0047","USR0047","RISK-005","transaction","TXN00047","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0048","USR0048","RISK-006","deduction","DED0048","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0049","USR0049","RISK-007","transaction","TXN00049","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0050","USR0050","RISK-001","document","DOC00100","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0051","USR0001","RISK-002","income_record","INC000101","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0052","USR0002","RISK-003","obligation","OBLITR0002","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0053","USR0003","RISK-004","transaction","TXN00003","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0054","USR0004","RISK-005","reconciliation","REC0054","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0055","USR0005","RISK-006","transaction","TXN00005","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0056","USR0006","RISK-007","transaction","TXN00006","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0057","USR0007","RISK-001","transaction","TXN00007","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0058","USR0008","RISK-002","income_record","INC000801","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0059","USR0009","RISK-003","transaction","TXN00009","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0060","USR0010","RISK-004","obligation","OBLITR0010","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0061","USR0011","RISK-005","transaction","TXN00011","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0062","USR0012","RISK-006","deduction","DED0012","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0063","USR0013","RISK-007","transaction","TXN00013","2026-08-20","resolved","HIGH"
