data_type,synthetic_source,scenario_id,user_id,scenario_type,status
synthetic,generated_for_testing,SC0001,USR0001,salary_increase,draft
synthetic,generated_for_testing,SC0002,USR0002,additional_freelance_income,draft
synthetic,generated_for_testing,SC0003,USR0003,additional_investment,draft
synthetic,generated_for_testing,SC0004,USR0004,capital_gain_event,draft
synthetic,generated_for_testing,SC0005,USR0005,tax_saving_investment,draft
synthetic,generated_for_testing,SC0006,USR0006,additional_loan_interest,draft
synthetic,generated_for_testing,SC0007,USR0007,salary_increase,draft
synthetic,generated_for_testing,SC0008,USR0008,additional_freelance_income,draft
synthetic,generated_for_testing,SC0009,USR0009,additional_investment,draft
synthetic,generated_for_testing,SC0010,USR0010,capital_gain_event,draft
synthetic,generated_for_testing,SC0011,USR0011,tax_saving_investment,draft
synthetic,generated_for_testing,SC0012,USR0012,additional_loan_interest,draft
synthetic,generated_for_testing,SC0013,USR0013,salary_increase,draft
synthetic,generated_for_testing,SC0014,USR0014,additional_freelance_income,draft
synthetic,generated_for_testing,SC0015,USR0015,additional_investment,draft
synthetic,generated_for_testing,SC0016,USR0016,capital_gain_event,draft
synthetic,generated_for_testing,SC0017,USR0017,tax_saving_investment,draft
synthetic,generated_for_testing,SC0018,USR0018,additional_loan_interest,draft
synthetic,generated_for_testing,SC0019,USR0019,salary_increase,draft
synthetic,generated_for_testing,SC0020,USR0020,additional_freelance_income,draft
synthetic,generated_for_testing,SC0021,USR0021,additional_investment,draft
synthetic,generated_for_testing,SC0022,USR0022,capital_gain_event,draft
synthetic,generated_for_testing,SC0023,USR0023,tax_saving_investment,draft
synthetic,generated_for_testing,SC0024,USR0024,additional_loan_interest,draft
synthetic,generated_for_testing,SC0025,USR0025,salary_increase,draft
synthetic,generated_for_testing,SC0026,USR0026,additional_freelance_income,draft
synthetic,generated_for_testing,SC0027,USR0027,additional_investment,draft
synthetic,generated_for_testing,SC0028,USR0028,capital_gain_event,draft
synthetic,generated_for_testing,SC0029,USR0029,tax_saving_investment,draft
synthetic,generated_for_testing,SC0030,USR0030,additional_loan_interest,draft
synthetic,generated_for_testing,SC0031,USR0031,salary_increase,draft
synthetic,generated_for_testing,SC0032,USR0032,additional_freelance_income,draft
synthetic,generated_for_testing,SC0033,USR0033,additional_investment,draft
synthetic,generated_for_testing,SC0034,USR0034,capital_gain_event,draft
synthetic,generated_for_testing,SC0035,USR0035,tax_saving_investment,draft
synthetic,generated_for_testing,SC0036,USR0036,additional_loan_interest,draft
synthetic,generated_for_testing,SC0037,USR0037,salary_increase,draft
synthetic,generated_for_testing,SC0038,USR0038,additional_freelance_income,draft
synthetic,generated_for_testing,SC0039,USR0039,additional_investment,draft
synthetic,generated_for_testing,SC0040,USR0040,capital_gain_event,draft
synthetic,generated_for_testing,SC0041,USR0041,tax_saving_investment,draft
synthetic,generated_for_testing,SC0042,USR0042,additional_loan_interest,draft
synthetic,generated_for_testing,SC0043,USR0043,salary_increase,draft
synthetic,generated_for_testing,SC0044,USR0044,additional_freelance_income,draft
synthetic,generated_for_testing,SC0045,USR0045,additional_investment,draft
synthetic,generated_for_testing,SC0046,USR0046,capital_gain_event,draft
synthetic,generated_for_testing,SC0047,USR0047,tax_saving_investment,draft
synthetic,generated_for_testing,SC0048,USR0048,additional_loan_interest,draft
synthetic,generated_for_testing,SC0049,USR0049,salary_increase,draft
synthetic,generated_for_testing,SC0050,USR0050,additional_freelance_income,draft
