"data_type","synthetic_source","payment_id","user_id","obligation_id","payment_type","payment_rule_id","tax_assessment_id","payment_date","amount","expected_amount","remaining_amount","status"
"synthetic","generated_for_testing","PAY0051","USR0001","OBLPAY0001","advance_tax","PAY-004","TAX0001","2026-03-15","11225","11225","0","paid"
"synthetic","generated_for_testing","PAY0052","USR0002","OBLPAY0002","self_assessment_tax","PAY-006","TAX0002","2026-08-31","14554","14554","0","paid"
"synthetic","generated_for_testing","PAY0053","USR0003","OBLPAY0003","advance_tax","PAY-004","TAX0003","2026-03-15","7547","7547","0","paid"
"synthetic","generated_for_testing","PAY0054","USR0004","OBLPAY0004","self_assessment_tax","PAY-006","TAX0004","2026-08-31","21211","21211","0","paid"
"synthetic","generated_for_testing","PAY0055","USR0005","OBLPAY0005","advance_tax","PAY-004","TAX0005","2026-03-15","19647","19647","0","paid"
"synthetic","generated_for_testing","PAY0056","USR0006","OBLPAY0006","self_assessment_tax","PAY-006","TAX0006","2026-08-31","17542","17542","0","paid"
"synthetic","generated_for_testing","PAY0057","USR0007","OBLPAY0007","advance_tax","PAY-004","TAX0007","2026-03-15","15599","31198","15599","partially_paid"
"synthetic","generated_for_testing","PAY0058","USR0008","OBLPAY0008","self_assessment_tax","PAY-006","TAX0008","2026-08-31","34526","34526","0","paid"
"synthetic","generated_for_testing","PAY0059","USR0009","OBLPAY0009","advance_tax","PAY-004","TAX0009","2026-03-15","27536","27536","0","paid"
"synthetic","generated_for_testing","PAY0060","USR0010","OBLPAY0010","self_assessment_tax","PAY-006","TAX0010","2026-08-31","35978","35978","0","paid"
"synthetic","generated_for_testing","PAY0061","USR0011","OBLPAY0011","advance_tax","PAY-004","TAX0011","2026-03-15","44513","44513","0","paid"
"synthetic","generated_for_testing","PAY0062","USR0012","OBLPAY0012","self_assessment_tax","PAY-006","TAX0012","2026-08-31","37531","37531","0","paid"
"synthetic","generated_for_testing","PAY0063","USR0013","OBLPAY0013","advance_tax","PAY-004","TAX0013","2026-03-15","51170","51170","0","paid"
"synthetic","generated_for_testing","PAY0064","USR0014","OBLPAY0014","self_assessment_tax","PAY-006","TAX0014","2026-08-31","54499","54499","0","paid"
"synthetic","generated_for_testing","PAY0065","USR0015","OBLPAY0015","advance_tax","PAY-004","TAX0015","2026-03-15","43470","43470","0","paid"
"synthetic","generated_for_testing","PAY0066","USR0016","OBLPAY0016","self_assessment_tax","PAY-006","TAX0016","2026-08-31","61157","61157","0","paid"
"synthetic","generated_for_testing","PAY0067","USR0017","OBLPAY0017","advance_tax","PAY-004","TAX0017","2026-03-15","64486","64486","0","paid"
"synthetic","generated_for_testing","PAY0068","USR0018","OBLPAY0018","self_assessment_tax","PAY-006","TAX0018","2026-08-31","57521","57521","0","paid"
"synthetic","generated_for_testing","PAY0069","USR0019","OBLPAY0019","advance_tax","PAY-004","TAX0019","2026-03-15","71143","71143","0","paid"
"synthetic","generated_for_testing","PAY0070","USR0020","OBLPAY0020","self_assessment_tax","PAY-006","TAX0020","2026-08-31","68640","68640","0","paid"
"synthetic","generated_for_testing","PAY0071","USR0021","OBLPAY0021","advance_tax","PAY-004","TAX0021","2026-03-15","67516","67516","0","paid"
"synthetic","generated_for_testing","PAY0072","USR0022","OBLPAY0022","self_assessment_tax","PAY-006","TAX0022","2026-08-31","81130","81130","0","paid"
"synthetic","generated_for_testing","PAY0073","USR0023","OBLPAY0023","advance_tax","PAY-004","TAX0023","2026-03-15","84458","84458","0","paid"
"synthetic","generated_for_testing","PAY0074","USR0024","OBLPAY0024","self_assessment_tax","PAY-006","TAX0024","2026-08-31","77510","77510","0","paid"
"synthetic","generated_for_testing","PAY0075","USR0025","OBLPAY0025","advance_tax","PAY-004","TAX0025","2026-03-15","84971","84971","0","paid"
"synthetic","generated_for_testing","PAY0076","USR0026","OBLPAY0026","self_assessment_tax","PAY-006","TAX0026","2026-08-31","99187","99187","0","paid"
"synthetic","generated_for_testing","PAY0077","USR0027","OBLPAY0027","advance_tax","PAY-004","TAX0027","2026-03-15","89471","89471","0","paid"
"synthetic","generated_for_testing","PAY0078","USR0028","OBLPAY0028","self_assessment_tax","PAY-006","TAX0028","2026-08-31","109714","109714","0","paid"
"synthetic","generated_for_testing","PAY0079","USR0029","OBLPAY0029","advance_tax","PAY-004","TAX0029","2026-03-15","114977","114977","0","paid"
"synthetic","generated_for_testing","PAY0080","USR0030","OBLPAY0030","self_assessment_tax","PAY-006","TAX0030","2026-08-31","98748","98748","0","paid"
"synthetic","generated_for_testing","PAY0081","USR0031","OBLPAY0031","advance_tax","PAY-004","TAX0031","2026-03-15","125503","125503","0","paid"
"synthetic","generated_for_testing","PAY0082","USR0032","OBLPAY0032","self_assessment_tax","PAY-006","TAX0032","2026-08-31","130766","130766","0","paid"
"synthetic","generated_for_testing","PAY0083","USR0033","OBLPAY0033","advance_tax","PAY-004","TAX0033","2026-03-15","121129","121129","0","paid"
"synthetic","generated_for_testing","PAY0084","USR0034","OBLPAY0034","self_assessment_tax","PAY-006","TAX0034","2026-08-31","141293","141293","0","paid"
"synthetic","generated_for_testing","PAY0085","USR0035","OBLPAY0035","advance_tax","PAY-004","TAX0035","2026-03-15","95839","95839","0","paid"
"synthetic","generated_for_testing","PAY0086","USR0036","OBLPAY0036","self_assessment_tax","PAY-006","TAX0036","2026-08-31","136958","136958","0","paid"
"synthetic","generated_for_testing","PAY0087","USR0037","OBLPAY0037","advance_tax","PAY-004","TAX0037","2026-03-15","157082","157082","0","paid"
"synthetic","generated_for_testing","PAY0088","USR0038","OBLPAY0038","self_assessment_tax","PAY-006","TAX0038","2026-08-31","162346","162346","0","paid"
"synthetic","generated_for_testing","PAY0089","USR0039","OBLPAY0039","advance_tax","PAY-004","TAX0039","2026-03-15","152788","152788","0","paid"
"synthetic","generated_for_testing","PAY0090","USR0040","OBLPAY0040","self_assessment_tax","PAY-006","TAX0040","2026-08-31","162245","162245","0","paid"
"synthetic","generated_for_testing","PAY0091","USR0041","OBLPAY0041","advance_tax","PAY-004","TAX0041","2026-03-15","178135","178135","0","paid"
"synthetic","generated_for_testing","PAY0092","USR0042","OBLPAY0042","self_assessment_tax","PAY-006","TAX0042","2026-08-31","168617","168617","0","paid"
"synthetic","generated_for_testing","PAY0093","USR0043","OBLPAY0043","advance_tax","PAY-004","TAX0043","2026-03-15","188662","188662","0","paid"
"synthetic","generated_for_testing","PAY0094","USR0044","OBLPAY0044","self_assessment_tax","PAY-006","TAX0044","2026-08-31","193925","193925","0","paid"
"synthetic","generated_for_testing","PAY0095","USR0045","OBLPAY0045","advance_tax","PAY-004","TAX0045","2026-03-15","177426","177426","0","paid"
"synthetic","generated_for_testing","PAY0096","USR0046","OBLPAY0046","self_assessment_tax","PAY-006","TAX0046","2026-08-31","204451","204451","0","paid"
"synthetic","generated_for_testing","PAY0097","USR0047","OBLPAY0047","advance_tax","PAY-004","TAX0047","2026-03-15","209714","209714","0","paid"
"synthetic","generated_for_testing","PAY0098","USR0048","OBLPAY0048","self_assessment_tax","PAY-006","TAX0048","2026-08-31","200275","200275","0","paid"
"synthetic","generated_for_testing","PAY0099","USR0049","OBLPAY0049","advance_tax","PAY-004","TAX0049","2026-03-15","220241","220241","0","paid"
"synthetic","generated_for_testing","PAY0100","USR0050","OBLPAY0050","self_assessment_tax","PAY-006","TAX0050","2026-08-31","213938","213938","0","paid"
