"data_type","synthetic_source","user_evidence_id","user_id","document_id","evidence_id","verification_status","document_status","linked_event_id"
"synthetic","generated_for_testing","UE00001","USR0001","DOC00001","EV-016","verified","uploaded","PAY0051"
"synthetic","generated_for_testing","UE00002","USR0002","DOC00002","EV-016","verified","uploaded","PAY0052"
"synthetic","generated_for_testing","UE00003","USR0003","DOC00003","EV-016","verified","uploaded","PAY0053"
"synthetic","generated_for_testing","UE00004","USR0004","DOC00004","EV-015","verified","uploaded","CG0004"
"synthetic","generated_for_testing","UE00005","USR0005","DOC00005","EV-016","verified","uploaded","PAY0055"
"synthetic","generated_for_testing","UE00006","USR0006","DOC00006","EV-016","verified","uploaded","PAY0056"
"synthetic","generated_for_testing","UE00007","USR0007","DOC00007","EV-016","verified","uploaded","PAY0057"
"synthetic","generated_for_testing","UE00008","USR0008","DOC00008","EV-015","verified","uploaded","CG0008"
"synthetic","generated_for_testing","UE00009","USR0009","DOC00009","EV-016","verified","uploaded","PAY0059"
"synthetic","generated_for_testing","UE00010","USR0010","DOC00010","EV-016","verified","uploaded","PAY0060"
"synthetic","generated_for_testing","UE00011","USR0011","DOC00011","EV-016","verified","uploaded","PAY0061"
"synthetic","generated_for_testing","UE00012","USR0012","DOC00012","EV-015","verified","uploaded","CG0012"
"synthetic","generated_for_testing","UE00013","USR0013","DOC00013","EV-016","verified","uploaded","PAY0063"
"synthetic","generated_for_testing","UE00014","USR0014","DOC00014","EV-016","verified","uploaded","PAY0064"
"synthetic","generated_for_testing","UE00015","USR0015","DOC00015","EV-016","verified","uploaded","PAY0065"
"synthetic","generated_for_testing","UE00016","USR0016","DOC00016","EV-015","verified","uploaded","CG0016"
"synthetic","generated_for_testing","UE00017","USR0017","DOC00017","EV-016","verified","uploaded","PAY0067"
"synthetic","generated_for_testing","UE00018","USR0018","DOC00018","EV-016","verified","uploaded","PAY0068"
"synthetic","generated_for_testing","UE00019","USR0019","DOC00019","EV-016","verified","uploaded","PAY0069"
"synthetic","generated_for_testing","UE00020","USR0020","DOC00020","EV-015","verified","uploaded","CG0020"
"synthetic","generated_for_testing","UE00021","USR0021","DOC00021","EV-016","verified","uploaded","PAY0071"
"synthetic","generated_for_testing","UE00022","USR0022","DOC00022","EV-016","verified","uploaded","PAY0072"
"synthetic","generated_for_testing","UE00023","USR0023","DOC00023","EV-016","verified","uploaded","PAY0073"
"synthetic","generated_for_testing","UE00024","USR0024","DOC00024","EV-015","verified","uploaded","CG0024"
"synthetic","generated_for_testing","UE00025","USR0025","DOC00025","EV-016","verified","uploaded","PAY0075"
"synthetic","generated_for_testing","UE00026","USR0026","DOC00026","EV-016","verified","uploaded","PAY0076"
"synthetic","generated_for_testing","UE00027","USR0027","DOC00027","EV-016","verified","uploaded","PAY0077"
"synthetic","generated_for_testing","UE00028","USR0028","DOC00028","EV-015","verified","uploaded","CG0028"
"synthetic","generated_for_testing","UE00029","USR0029","DOC00029","EV-016","verified","uploaded","PAY0079"
"synthetic","generated_for_testing","UE00030","USR0030","DOC00030","EV-016","verified","uploaded","PAY0080"
"synthetic","generated_for_testing","UE00031","USR0031","DOC00031","EV-016","verified","uploaded","PAY0081"
"synthetic","generated_for_testing","UE00032","USR0032","DOC00032","EV-015","verified","uploaded","CG0032"
"synthetic","generated_for_testing","UE00033","USR0033","DOC00033","EV-016","verified","uploaded","PAY0083"
"synthetic","generated_for_testing","UE00034","USR0034","DOC00034","EV-016","verified","uploaded","PAY0084"
"synthetic","generated_for_testing","UE00035","USR0035","DOC00035","EV-016","verified","uploaded","PAY0085"
"synthetic","generated_for_testing","UE00036","USR0036","DOC00036","EV-015","verified","uploaded","CG0036"
"synthetic","generated_for_testing","UE00037","USR0037","DOC00037","EV-016","verified","uploaded","PAY0087"
"synthetic","generated_for_testing","UE00038","USR0038","DOC00038","EV-016","verified","uploaded","PAY0088"
"synthetic","generated_for_testing","UE00039","USR0039","DOC00039","EV-016","verified","uploaded","PAY0089"
"synthetic","generated_for_testing","UE00040","USR0040","DOC00040","EV-015","verified","uploaded","CG0040"
"synthetic","generated_for_testing","UE00041","USR0041","DOC00041","EV-016","verified","uploaded","PAY0091"
"synthetic","generated_for_testing","UE00042","USR0042","DOC00042","EV-016","verified","uploaded","PAY0092"
"synthetic","generated_for_testing","UE00043","USR0043","DOC00043","EV-016","verified","uploaded","PAY0093"
"synthetic","generated_for_testing","UE00044","USR0044","DOC00044","EV-015","verified","uploaded","CG0044"
"synthetic","generated_for_testing","UE00045","USR0045","DOC00045","EV-016","verified","uploaded","PAY0095"
"synthetic","generated_for_testing","UE00046","USR0046","DOC00046","EV-016","verified","uploaded","PAY0096"
"synthetic","generated_for_testing","UE00047","USR0047","DOC00047","EV-016","verified","uploaded","PAY0097"
"synthetic","generated_for_testing","UE00048","USR0048","DOC00048","EV-015","verified","uploaded","CG0048"
"synthetic","generated_for_testing","UE00049","USR0049","DOC00049","EV-016","verified","uploaded","PAY0099"
"synthetic","generated_for_testing","UE00050","USR0050","DOC00050","EV-016","verified","uploaded","PAY0100"
"synthetic","generated_for_testing","UE00051","USR0001","DOC00051","EV-007","verified","uploaded","TXN00001"
"synthetic","generated_for_testing","UE00052","USR0002","DOC00052","EV-008","missing","missing","TXN00002"
"synthetic","generated_for_testing","UE00053","USR0003","DOC00053","EV-009","verified","uploaded","TXN00003"
"synthetic","generated_for_testing","UE00054","USR0004","DOC00054","EV-016","verified","uploaded","PAY0054"
"synthetic","generated_for_testing","UE00055","USR0005","DOC00055","EV-011","verified","uploaded","DEDREC0017"
"synthetic","generated_for_testing","UE00056","USR0006","DOC00056","EV-001","missing","missing","INC000601"
"synthetic","generated_for_testing","UE00057","USR0007","DOC00057","EV-002","verified","uploaded","INC000701"
"synthetic","generated_for_testing","UE00058","USR0008","DOC00058","EV-016","verified","uploaded","PAY0058"
"synthetic","generated_for_testing","UE00059","USR0009","DOC00059","EV-004","verified","uploaded","TXN00009"
"synthetic","generated_for_testing","UE00060","USR0010","DOC00060","EV-005","missing","missing","INC001001"
"synthetic","generated_for_testing","UE00061","USR0011","DOC00061","EV-006","verified","uploaded","INC001102"
"synthetic","generated_for_testing","UE00062","USR0012","DOC00062","EV-016","verified","uploaded","PAY0062"
"synthetic","generated_for_testing","UE00063","USR0013","DOC00063","EV-008","verified","uploaded","TXN00013"
"synthetic","generated_for_testing","UE00064","USR0014","DOC00064","EV-009","missing","missing","TXN00014"
"synthetic","generated_for_testing","UE00065","USR0015","DOC00065","EV-010","verified","uploaded","DED0015"
"synthetic","generated_for_testing","UE00066","USR0016","DOC00066","EV-016","verified","uploaded","PAY0066"
"synthetic","generated_for_testing","UE00067","USR0017","DOC00067","EV-001","verified","uploaded","INC001701"
"synthetic","generated_for_testing","UE00068","USR0018","DOC00068","EV-002","missing","missing","INC001801"
"synthetic","generated_for_testing","UE00069","USR0019","DOC00069","EV-003","verified","uploaded","TXN00019"
"synthetic","generated_for_testing","UE00070","USR0020","DOC00070","EV-016","verified","uploaded","PAY0070"
"synthetic","generated_for_testing","UE00071","USR0021","DOC00071","EV-005","verified","uploaded","INC002101"
"synthetic","generated_for_testing","UE00072","USR0022","DOC00072","EV-006","missing","missing","INC002202"
"synthetic","generated_for_testing","UE00073","USR0023","DOC00073","EV-007","verified","uploaded","TXN00023"
"synthetic","generated_for_testing","UE00074","USR0024","DOC00074","EV-016","verified","uploaded","PAY0074"
"synthetic","generated_for_testing","UE00075","USR0025","DOC00075","EV-009","verified","uploaded","INC002503"
"synthetic","generated_for_testing","UE00076","USR0026","DOC00076","EV-010","missing","missing","TXN00026"
"synthetic","generated_for_testing","UE00077","USR0027","DOC00077","EV-011","verified","uploaded","DED0027"
"synthetic","generated_for_testing","UE00078","USR0028","DOC00078","EV-016","verified","uploaded","PAY0078"
"synthetic","generated_for_testing","UE00079","USR0029","DOC00079","EV-002","verified","uploaded","INC002901"
"synthetic","generated_for_testing","UE00080","USR0030","DOC00080","EV-003","missing","missing","TXN00030"
"synthetic","generated_for_testing","UE00081","USR0031","DOC00081","EV-004","verified","uploaded","TXN00031"
"synthetic","generated_for_testing","UE00082","USR0032","DOC00082","EV-016","verified","uploaded","PAY0082"
"synthetic","generated_for_testing","UE00083","USR0033","DOC00083","EV-006","verified","uploaded","INC003302"
"synthetic","generated_for_testing","UE00084","USR0034","DOC00084","EV-007","missing","missing","TXN00034"
"synthetic","generated_for_testing","UE00085","USR0035","DOC00085","EV-008","verified","uploaded","INC003503"
"synthetic","generated_for_testing","UE00086","USR0036","DOC00086","EV-016","verified","uploaded","PAY0086"
"synthetic","generated_for_testing","UE00087","USR0037","DOC00087","EV-010","verified","uploaded","TXN00037"
"synthetic","generated_for_testing","UE00088","USR0038","DOC00088","EV-011","missing","missing","TXN00038"
"synthetic","generated_for_testing","UE00089","USR0039","DOC00089","EV-001","verified","uploaded","INC003901"
"synthetic","generated_for_testing","UE00090","USR0040","DOC00090","EV-016","verified","uploaded","PAY0090"
"synthetic","generated_for_testing","UE00091","USR0041","DOC00091","EV-003","verified","uploaded","TXN00041"
"synthetic","generated_for_testing","UE00092","USR0042","DOC00092","EV-004","missing","missing","TXN00042"
"synthetic","generated_for_testing","UE00093","USR0043","DOC00093","EV-005","verified","uploaded","INC004301"
"synthetic","generated_for_testing","UE00094","USR0044","DOC00094","EV-016","verified","uploaded","PAY0094"
"synthetic","generated_for_testing","UE00095","USR0045","DOC00095","EV-007","verified","uploaded","TXN00045"
"synthetic","generated_for_testing","UE00096","USR0046","DOC00096","EV-008","missing","missing","TXN00046"
"synthetic","generated_for_testing","UE00097","USR0047","DOC00097","EV-009","verified","uploaded","TXN00047"
"synthetic","generated_for_testing","UE00098","USR0048","DOC00098","EV-016","verified","uploaded","PAY0098"
"synthetic","generated_for_testing","UE00099","USR0049","DOC00099","EV-011","verified","uploaded","DEDREC0033"
"synthetic","generated_for_testing","UE00100","USR0050","DOC00100","EV-001","missing","missing","INC005001"
"synthetic","generated_for_testing","UE00101","USR0001","DOC00101","EV-002","verified","uploaded","INC000101"
"synthetic","generated_for_testing","UE00102","USR0002","DOC00102","EV-003","verified","uploaded","TXN00002"
"synthetic","generated_for_testing","UE00103","USR0003","DOC00103","EV-004","verified","uploaded","TXN00003"
"synthetic","generated_for_testing","UE00104","USR0004","DOC00104","EV-005","missing","missing","INC000401"
"synthetic","generated_for_testing","UE00105","USR0005","DOC00105","EV-006","verified","uploaded","INC000502"
"synthetic","generated_for_testing","UE00106","USR0006","DOC00106","EV-007","verified","uploaded","TXN00006"
"synthetic","generated_for_testing","UE00107","USR0007","DOC00107","EV-008","verified","uploaded","TXN00007"
"synthetic","generated_for_testing","UE00108","USR0008","DOC00108","EV-009","missing","missing","TXN00008"
"synthetic","generated_for_testing","UE00109","USR0009","DOC00109","EV-010","verified","uploaded","DED0009"
"synthetic","generated_for_testing","UE00110","USR0010","DOC00110","EV-011","verified","uploaded","DEDREC0018"
"synthetic","generated_for_testing","UE00111","USR0011","DOC00111","EV-001","verified","uploaded","INC001101"
"synthetic","generated_for_testing","UE00112","USR0012","DOC00112","EV-002","missing","missing","INC001201"
"synthetic","generated_for_testing","UE00113","USR0013","DOC00113","EV-003","verified","uploaded","TXN00013"
"synthetic","generated_for_testing","UE00114","USR0014","DOC00114","EV-004","verified","uploaded","TXN00014"
"synthetic","generated_for_testing","UE00115","USR0015","DOC00115","EV-005","verified","uploaded","INC001501"
"synthetic","generated_for_testing","UE00116","USR0016","DOC00116","EV-006","missing","missing","INC001602"
"synthetic","generated_for_testing","UE00117","USR0017","DOC00117","EV-007","verified","uploaded","TXN00017"
"synthetic","generated_for_testing","UE00118","USR0018","DOC00118","EV-008","verified","uploaded","TXN00018"
"synthetic","generated_for_testing","UE00119","USR0019","DOC00119","EV-009","verified","uploaded","TXN00019"
